RunID,steps,beta_x,cpu_frequency_mhz,cpu_usage_percent,cumulative_reward,entropy,episode_length,episode_time,epsilon_x,extrinsic_reward,extrinsic_value_estimate,game_cpu_usage,game_memory_usage(MB),gpu_usage_percent,learning_rate_x,loss_value,policy_loss,ram_usage_mb,step_length(ms),steps_per_second,time_elapsed(s),vram_usage_mb,final_mean_reward,max_reward,time_to_max_reward_sec,training_duration_seconds,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,peak_ram_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id,os,cpu,cpu_cores,system_ram_gb,gpu,gpu_ram_mb,cuda_version,algorithm,enviroment,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq,gpu_available,ram_gb,gpu_memory_gb
20251122-222059,1992000,0.003939,2536,18.95000076,100.0000153,1.167615056,999,8.409732819,0.186000004,100.0000153,1.002000451,4.858024597,166.3374939,-1,0.000279,0.000014,0.032924615,3614,1.642072082,639800.5,2463.354492,-1,100.0000153,100.0000153,1130.561523,2463.354492,0.0344718656,0.0029843489,1.2329228463,1.167615056,48.5,19.581325324,3958,3652.5130541687,2536,2536,-1,-1,-1,-1,5.210282326,4.1568861551,216.890625,166.8439625623,6000,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,512,0.000279,20480,0.003939,0.186,0.931,3,constant,True,64,2,simple,,,5,2000000,1024,12000,False,7.99999572336674,0
20251122-230218,96000,,2536,17.86666679,1.131970167,1.418938279,21.31598473,0.183660045,,1.131970167,0.166030452,4.314491749,229.5343781,-1,,,,3687,1.647849441,607691.625,66.22098541,-1,1.131970167,1.16767478,17.22048759,66.22098541,,,1.4189382344,1.418938279,21.93333244,18.60624981,3740.666748,3706.791687,2536,2536,-1,-1,-1,-1,4.353279591,4.2322354616,230.7406311,219.473503125,6006,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,4096,0.000059,163840,0.006767,0.154,0.915,3,linear,True,256,1,simple,,,5,100000,256,12000,False,7.99999572336674,0
20251122-230332,492000,0.001301,2536,17.64999962,2.045931578,1.405994415,30.51968575,0.324071407,0.264999986,2.045931578,0.328955829,3.819822311,225.203125,-1,0.000141,0.045471434,0.018501146,3739,2.162787437,522507,380.6304016,-1,2.045931578,2.045931578,380.6304016,380.6304016,0.0176674842,0.2066072695,1.4151162141,1.405994415,21.10000038,18.4939023927,3793.333252,3744.3536763902,2536,2536,-1,-1,-1,-1,4.646341801,4.1163847446,262.71875,234.7152248488,5971,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000141,40960,0.001301,0.265,0.947,3,constant,False,128,1,simple,,,5,500000,128,12000,False,7.99999572336674,0
20251122-231007,492000,0.000438,2536,17.20000076,4.785784721,1.35849905,58.06372452,0.66127485,0.101000004,4.785784721,1.361859202,3.666688681,215.1968689,-1,0.000157,0.395991385,0.017996894,3734.5,2.798506021,506651.7188,440.3202209,-1,4.785784721,4.785784721,440.3202209,440.3202209,0.0174333357,0.194196079,1.3925698036,1.35849905,22.39999962,18.0674797378,3824.333252,3760.9308962927,2536,2536,-1,-1,-1,-1,4.708321095,3.9857006597,251.640625,221.1438129732,6015,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000157,40960,0.000438,0.101,0.922,8,constant,False,64,2,simple,,,5,500000,512,12000,False,7.99999572336674,0
20251122-231737,996000,,2536,18.36666679,2.661755323,1.406296372,36.60815048,0.3284657,,2.661755323,0.968399882,4.298220158,197.8125,-1,,,,3727,1.745236635,592835.5625,807.5582886,-1,2.661755323,2.785714388,749.9799805,807.5582886,0.0163713548,0.2957978894,1.4114295201,1.406296372,54.95000076,18.2973895249,3815.666748,3759.299198747,2536,2536,-1,-1,-1,-1,4.612927914,4.0651666314,245.203125,205.5523563976,6008,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000034,81920,0.001771,0.255,0.949,3,linear,False,128,3,simple,,,5,1000000,128,12000,False,7.99999572336674,0
20251122-233113,492000,,2536,18,1.208269238,1.42280972,22.09807777,0.237472668,,1.208269238,0.448333263,3.791965485,193.21875,-1,,,,3659.333252,2.055061817,515472.5625,408.8299866,-1,1.208269238,1.267850041,187.7733459,408.8299866,0.012142087,0.283926874,1.4202313888,1.42280972,33.5,18.3869917793,3835.666748,3722.0081280976,2536,2536,-1,-1,-1,-1,4.537099838,4.2312046028,230.34375,187.3318596756,6001,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,4096,0.000229,327680,0.008808,0.281,0.926,8,linear,True,512,1,simple,,,5,500000,256,12000,False,7.99999572336674,0
20251122-233813,492000,0.0000848,2536,17.29999924,1.460683703,1.406641006,24.55555534,0.968910694,0.10065528,1.460683703,0.343963355,3.371240377,157.7124939,-1,0.00000375,0.153578833,0.012709796,3730,7.644713402,435533.6563,479.4740295,-1,1.460683703,1.509130359,422.2677917,479.4740295,0.0132231593,0.111698831,1.4131345051,1.406641006,20.93333244,17.8264226451,3749,3697.5081340488,2536,2536,-1,-1,-1,-1,4.373151779,4.0444827196,241.609375,183.4290403049,6011,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,4096,0.000223,163840,0.00446,0.139,0.941,5,linear,False,512,3,simple,,,5,500000,1024,12000,False,7.99999572336674,0
20251122-234622,996000,,2536,18.56666756,2.100799799,1.421949506,31.00266647,0.233305767,,2.100799799,0.389376789,4.917234421,169.203125,-1,,,,3643.666748,1.450900555,693955.4375,738.526123,-1,2.100799799,2.100799799,738.526123,738.526123,0.0175080928,0.1489429473,1.423987268,1.421949506,42.59999847,19.2510040013,3784,3710.4799245783,2536,2536,-1,-1,-1,-1,4.917234421,4.3610399085,237.59375,187.6877377012,5984,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000099,163840,0.008701,0.233,0.911,4,constant,True,32,1,simple,,,5,1000000,128,12000,False,7.99999572336674,0
20251122-235848,996000,,2536,20.76666641,3.368148088,1.409389019,43.66170883,0.592592061,,3.368148088,0.415128857,3.598122835,91.94062805,-1,,,,3269.333252,2.335060596,512383.2188,4814.585449,-1,3.368148088,3.624513626,3607.898926,4814.585449,0.0171964382,0.0441397067,1.4167026209,1.409389019,46.15000153,19.0287148806,3875.333252,3655.9236898795,2536,2536,-1,-1,-1,-1,4.679589272,3.7596458398,225.34375,181.2517792133,5974,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,2048,0.000024,40960,0.003483,0.137,0.901,10,linear,True,64,3,simple,,,5,1000000,64,12000,False,7.99999572336674,0
20251123-013820,996000,0.0000446,2536,24.39999962,100.0000153,1.31990099,999,10.82555199,0.1003021,100.0000153,12.07445621,4.12716198,72.11562347,-1,0.00000145,0.0480708,0.033434402,3292,2.16276145,575320.8125,35765.72656,-1,100.0000153,100.0000153,35498.84375,35765.72656,0.0354303617,0.1643568082,1.3592592966,1.31990099,63.79999924,27.1060240413,3834.5,3449.8734910361,2536,2536,-1,-1,-1,-1,5.993474483,3.6509962835,186.96875,77.7115900904,5970,macOS,Apple M2,8,8589930000,Chipset Model: Apple M2,,,ppo,3DBall,512,0.000096,40960,0.002301,0.12,0.915,3,linear,False,512,2,simple,,,5,1000000,256,12000,False,7.99999572336674,0
20251123-014754,996000,,2267.333252,3.5,58.5789566,1.353452802,592.8947144,12.02520561,,58.5789566,3.919797659,0.835744143,0,7.5,,,,14384,0.913541317,1099129.5,636.4104004,1744,58.5789566,58.5789566,636.4104004,636.4104004,0.0177604616,0.6451017582,1.3878668977,1.353452802,8,3.9295180677,16323,14435.0582173494,2267.333252,2267.333252,20,10.7449799103,1988,1758.4899578795,1.028237104,0.5814139341,0,0,5848,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000165,81920,0.001077,0.164,0.947,5,constant,True,32,1,simple,,,5,1000000,512,12000,False,31.9124199450016,15.9208984375
20251123-015841,996000,,2267.333252,1.600000024,5.235752106,1.383175731,62.1243515,0.554023862,,5.235752106,0.550320029,0.882506073,0,2,,,,9968,2.474105597,1033650.75,595.175354,1123,5.235752106,5.377957821,550.6408081,595.175354,0.0247099061,0.0188876832,1.3986947135,1.383175731,10.5,3.414056225,14286.33301,11743.3514094699,2267.333252,2267.333252,23,8.096385545,1735,1212.0381535904,1.23939085,0.6848362936,0,0,5849,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,1024,0.000033,40960,0.004283,0.12,0.941,5,linear,False,256,2,simple,,,5,1000000,128,12000,False,31.9124199450016,15.9208984375
20251123-020847,492000,,2267.333252,5.300000191,1.249706388,1.414904118,22.50293541,0.113076314,,1.249706388,0.069494464,0.525937498,0,1,,,,10218.33301,0.962144852,1057511.25,248.8567047,1124,1.249706388,1.367556453,202.6998444,248.8567047,0.013440902,0.070979491,1.4175907955,1.414904118,5.699999809,2.4922764271,10554,10195.0812692683,2267.333252,2267.333252,1.666666627,1.012195122,1124,1124,0.990618527,0.6380969592,0,0,5850,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,4096,0.000142,327680,0.004455,0.201,0.926,4,linear,True,256,2,simple,,,5,500000,256,12000,False,31.9124199450016,15.9208984375
20251123-021308,996000,,2267.333252,2.150000095,4.137004852,1.348307252,52.21585846,0.206482917,,4.137004852,0.975685477,0.45324713,0,1,,,,10260.5,0.772979975,1294531.125,519.6694336,1111,4.137004852,4.137004852,519.6694336,519.6694336,0.0185840625,0.2096956722,1.3904376346,1.348307252,5.75,2.4401606336,10402.33301,10191.1225172289,2267.333252,2267.333252,1.333333373,1.0000000036,1124,1114.3935738072,1.115403652,0.6571708045,0,0,5851,Windows 11,"AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD",8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000271,163840,0.005538,0.196,0.916,4,constant,True,64,1,simple,,,5,1000000,256,12000,False,31.9124199450016,15.9208984375
