enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,training_duration_seconds,peak_ram_mb,summary_freq,os,gpu_available,gpu,gpu_memory_gb,final_mean_reward
3DBall,ppo,0.0005958284774414,64,834,1,234987,234663,63.7791481018066,28,512,2048,0.0050518653240209,0.128220710956919,0.986154261892201,6.0,162.0844949,1125.40234375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,55.9473769602023
3DBall,ppo,0.0009976082643686,128,638,4,226412,226307,63.7791481018066,28,256,4096,0.0092322232310107,0.246016279775329,0.901106726389188,4.0,102.9448417,1142.6484375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,16.5967769392075
3DBall,ppo,0.0001839571439041,512,230,1,473802,473753,63.7791481018066,28,64,8192,0.0085681482446327,0.194411759316507,0.977978141926886,3.0,148.629209,1111.84375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,100.000008583069
3DBall,ppo,0.0003885255540328,512,586,2,354573,354445,63.7791481018066,28,256,2048,0.00730628851349,0.130208785891522,0.902325376783519,8.0,144.5236928,1130.43359375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,52.8406339921057
3DBall,ppo,0.0002399661984941,512,108,3,235470,235396,63.7791481018066,28,256,8192,0.0011488661131209,0.139078095149119,0.951494783055209,6.0,96.6625725,1124.12109375,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,54.3040092229843
3DBall,ppo,0.0001776930671042,1024,637,1,311097,311061,63.7791481018066,28,64,4096,0.0089599469068456,0.107119627591,0.942031366782337,10.0,143.8163498,1113.31640625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,100.000008583069
3DBall,ppo,0.0007282115008215,256,756,5,518113,518071,63.7791481018066,28,256,10240,0.0068016835634951,0.104603512896901,0.914656664382006,6.0,291.8149738,1169.6953125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.303230382418365
3DBall,ppo,0.0005496869307219,2048,720,3,555458,554945,63.7791481018066,28,1024,2048,0.0089455293410031,0.177722352024806,0.904101760750881,6.0,208.1075779,1188.80078125,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,94.5800148010254
3DBall,ppo,0.0001383225450021,64,918,5,238187,237969,63.7791481018066,28,1024,2048,0.0037210954750446,0.223075423304328,0.903470106673063,6.0,223.3281663,1216.671875,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,47.6450070619583
3DBall,ppo,0.0001250438479791,256,388,1,406598,406577,63.7791481018066,28,64,4096,0.0097752871598957,0.12667890936359,0.950912950839504,9.0,211.9597112,1100.28515625,10000,Windows,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,31.5761931467624
